,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Position Category,Class
0,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,1,0,11,0.1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,20,30.0,66,310,90,10.0,10.0,100.0,10.0,10.0,100.0,0.0,10.0,0.0,0,0,0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,10,10,0,0,10,0,0,0,0,0,0,0.0,0,10,0,0.0,50.0,0.0,20.0,20.0,10.0,0.0,50.0,0,0,0.0,0.0,0.0,10,0,0,0.0,0,0,0,0,10.0,0.0,0,0,0.0,0,0,0,0,10.0,0,0.0,0.0,10,0,10,0.0,MF,3
1,Abner,BRA,DF,Betis,La Liga,22,2000,4,3,272,3.0,0,0,0,50.0,0,0,7,0.0,0.0,0.0,39,54.3,71,590,265,20.7,23.3,88.6,13.3,20.0,66.7,2.33,5.67,41.2,0,0,3,0.33,0.0,3.33,54.3,42.3,11.7,0.33,0.0,0.67,1.33,11.3,0.0,0.0,0.0,0.0,39,0,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,2,0,0,2,2,85,0,1,0,0.67,2,4,2,0.0,65.7,4.67,20.7,30.7,15.0,1.67,65.7,1,0,25.0,1.0,75.0,30,112,67,0.67,0,0,1,0,35.0,3.67,0,0,0.0,0,0,0,1,2.33,0,0.0,0.0,6,1,2,33.3,DF,3
2,Mohamed Achi,FRA,FW,Nantes,Ligue 1,21,2002,2,0,36,0.4,0,2,0,0.0,0,0,26,0.0,0.0,0.0,45,52.5,85,685,190,17.5,17.5,100.0,25.0,30.0,83.3,0.0,2.5,0.0,0,2,2,0.0,0.0,7.5,52.5,50.0,2.5,0.0,0.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,45,0,0,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,2,0,0,2,2,100,0,0,0,0.0,0,2,0,0.0,62.5,0.0,10.0,27.5,25.0,0.0,62.5,2,0,0.0,2.5,100.0,52,335,187,5.0,5,0,0,2,47.5,2.5,0,0,0.0,5,0,0,2,2.5,0,0.0,0.0,5,0,0,0.0,FW,3
3,Martin Adeline,FRA,MFFW,Reims,Ligue 1,19,2003,5,0,107,1.2,0,0,0,0.0,0,0,25,0.0,0.0,0.0,24,34.2,70,325,77,10.0,15.0,66.7,9.17,11.7,78.6,0.83,2.5,33.3,0,0,1,0.0,0.0,2.5,34.2,31.7,2.5,0.83,0.0,0.0,0.0,0.83,0.83,0.0,0.0,0.0,24,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,2,1,0,0,2,3,75,0,2,0,1.67,2,5,2,0.0,49.2,3.33,18.3,18.3,13.3,0.83,49.2,2,0,33.3,1.67,66.7,25,144,69,0.83,0,0,3,1,22.5,0.83,1,0,0.0,4,0,0,0,2.5,0,0.0,0.0,9,5,4,54.5,MF,3
4,Yacine Adli,FRA,MFFW,Milan,Serie A,22,2000,4,1,116,1.3,0,1,1,100.0,0,0,18,0.0,0.0,0.0,29,46.2,63,512,166,14.6,18.5,79.2,9.23,13.8,66.7,3.85,8.46,45.5,0,0,3,1.54,0.0,6.15,46.2,44.6,1.54,0.77,0.0,0.77,3.08,0.77,0.0,0.0,0.0,0.0,29,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,2,1,3,0,1,1,100,0,1,0,1.54,0,5,0,0.0,60.0,0.77,8.46,29.2,24.6,0.77,60.0,0,0,100.0,0.0,0.0,33,217,108,3.85,3,0,1,1,44.6,5.38,0,0,0.0,2,0,0,3,2.31,0,0.0,0.0,3,0,2,0.0,MF,3
5,Lucien Agoume,FRA,MF,Troyes,Ligue 1,21,2002,5,4,286,3.2,0,0,0,0.0,0,0,12,0.0,0.0,0.0,47,57.2,83,832,203,20.9,24.1,87.0,18.4,21.3,86.8,6.25,8.75,71.4,0,0,3,0.94,0.31,5.94,57.2,55.0,1.88,1.25,0.0,0.94,0.94,0.31,0.31,0.31,0.0,0.0,47,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,4,2,1,1,1,1,2,71,0,0,0,0.31,1,6,1,0.0,69.7,3.13,20.3,36.3,13.4,1.25,69.7,1,0,40.0,0.31,20.0,52,275,113,1.25,1,0,0,0,48.8,0.31,0,0,0.0,2,1,0,0,2.19,0,0.0,0.0,5,3,0,83.3,MF,3
6,Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,23,1999,3,0,49,0.5,0,2,0,0.0,0,0,15,0.0,0.0,0.0,32,50.0,64,598,288,8.0,10.0,80.0,18.0,20.0,90.0,4.0,12.0,33.3,0,2,2,2.0,0.0,4.0,50.0,38.0,12.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,32,0,4,8,6,2,0,0,0,0.0,0,0,0,0,0,0,0.0,2,0,0,2,0,0,0,0,0,2,2,0.0,0,2,0,0.0,66.0,2.0,14.0,26.0,28.0,4.0,66.0,6,0,0.0,4.0,66.7,38,330,48,0.0,4,0,2,4,38.0,4.0,0,0,0.0,6,6,0,2,0.0,0,2.0,0.0,6,2,2,50.0,DF,3
7,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,6,5,515,5.7,0,0,0,0.0,0,0,8,0.0,0.0,0.0,30,39.5,78,633,283,10.0,10.9,91.9,16.5,19.5,84.7,4.04,8.07,50.0,0,0,1,0.35,0.0,1.58,39.5,37.7,1.4,1.4,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,0,0,1,1,77,0,1,1,0.18,1,3,4,0.0,50.5,6.32,26.0,23.3,1.58,1.05,50.5,0,0,100.0,0.0,0.0,27,105,51,0.18,0,0,0,0,30.2,0.35,0,0,0.0,0,0,0,0,1.58,0,0.0,0.0,5,1,1,62.5,DF,3
8,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,1,0,20,0.2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,30,50.0,60,395,90,15.0,25.0,60.0,10.0,20.0,50.0,0.0,0.0,0.0,0,0,0,0.0,0.0,5.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,5,5,0,5,0,0,5,0,5,0,0,0.0,5,10,0,0.0,90.0,0.0,15.0,40.0,35.0,0.0,90.0,5,5,100.0,0.0,0.0,60,370,105,0.0,5,0,20,10,60.0,10.0,0,0,0.0,5,5,0,0,5.0,0,0.0,0.0,10,0,15,0.0,FW,3
9,Maghnes Akliouche,FRA,MFDF,Monaco,Ligue 1,20,2002,6,3,248,2.8,0,0,0,100.0,0,0,8,0.0,0.0,0.0,28,37.9,74,366,113,17.9,21.8,82.0,7.5,10.4,72.4,0.71,1.79,40.0,0,1,2,1.43,0.0,3.93,37.9,35.7,1.79,0.36,0.0,0.0,3.21,1.07,0.36,0.36,0.0,0.0,28,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,1,0,0,1,33,0,0,0,0.36,0,2,0,0.0,47.9,1.43,7.14,19.3,22.1,3.21,47.9,2,0,33.3,1.43,66.7,38,214,94,1.79,1,0,1,2,35.0,7.5,1,0,0.0,1,1,0,3,1.07,0,0.0,0.0,6,0,1,40.0,MF,3
